step,elapsed_seconds,elapsed_hours,ambient_temp_c
850,255000,70.83333333333333,23.947
851,255300,70.91666666666666,23.883
852,255600,71.0,23.82
853,255900,71.08333333333333,23.777
854,256200,71.16666666666666,23.733
855,256500,71.25,23.69
856,256800,71.33333333333333,23.647
857,257100,71.41666666666666,23.603
858,257400,71.5,23.56
859,257700,71.58333333333333,23.517
860,258000,71.66666666666666,23.473
861,258300,71.75,23.43
862,258600,71.83333333333333,23.387
863,258900,71.91666666666666,23.343
864,259200,72.0,23.3
865,259500,72.08333333333333,23.276
866,259800,72.16666666666666,23.252
867,260100,72.25,23.228
868,260400,72.33333333333333,23.203
869,260700,72.41666666666666,23.179
870,261000,72.5,23.155
871,261300,72.58333333333333,23.131
872,261600,72.66666666666666,23.107
873,261900,72.75,23.083
874,262200,72.83333333333333,23.058
875,262500,72.91666666666666,23.034
876,262800,73.0,23.01
877,263100,73.08333333333333,23.008
878,263400,73.16666666666666,23.007
879,263700,73.25,23.005
880,264000,73.33333333333333,23.003
